order_item_id,order_id,product_id,quantity
1,baead435_gius1402202308,1a95d70a,4
2,b321089b_amit5303202202_9035c,1a95d70a,2
3,507ad135_jame2408202202,1a95d70a,4
4,932750fb_noah0353202210_9f1e1,1997475f,5
5,507ad135_jame2408202202,1a95d70a,5
6,932750fb_noah0353202210_9f1e1,1997475f,5
7,507ad135_jame2408202202,1a95d70a,1
8,6911834f_deep1633202311_d0a37,1a95d70a,5
9,6911834f_deep1633202311_d0a37,1a95d70a,2
10,f648bec2_soph8709202303_7130b,ca67756d,5
11,135d2512_luca0885202305,1b638af7,4
12,f648bec2_soph8709202303_7130b,63708084,5
13,b2df7ba8_deep2410202207_81f2c,1a95d70a,5
14,a09c84ef_sabi1040202310_90e3f,1a95d70a,4
15,a09c84ef_sabi1040202310_90e3f,1a95d70a,1
16,a09c84ef_sabi1040202310_90e3f,1a95d70a,1
17,436c26a2_sabi9233202304,1a95d70a,2
18,133c2d46_saku1100202307_346f8,1a95d70a,1
19,436c26a2_sabi9233202304,1a95d70a,3
20,6f5c5f09_fran1540202312_70acb,1a95d70a,2
21,436c26a2_sabi9233202304,1a95d70a,1
22,66eb028c_jing9380202305_0a189,1a95d70a,2
23,436c26a2_sabi9233202304,1a95d70a,1
24,66eb028c_jing9380202305_0a189,1a95d70a,3
25,436c26a2_sabi9233202304,1a95d70a,2
26,d1d8cdcc_mich6753202304_11a35,1a95d70a,4
27,90005676_isla0205202310,1a95d70a,3
28,08d8429f_priy3661202210_508e1,68fb6cf4,2
29,90005676_isla0205202310,1a95d70a,1
30,19af6eb0_liam7451202202_94d31,1a95d70a,1
31,85284c05_will8004202207,1a95d70a,4
32,54f22cc1_andr7918202310_b8b40,0ebf31b8,1
33,85284c05_will8004202207,1a95d70a,2
34,b1f86226_amel5467202206_6d181,181fdb70,5
35,f0c7cad0_vikr7459202208,823e3fc3,5
36,fc44f970_haru1242202301_50d0c,1a95d70a,1
37,a97f2920_sofi0855202306_6ad82,7d4d06d3,3
38,a97f2920_sofi0855202306_6ad82,58e9ca69,1
39,a97f2920_sofi0855202306_6ad82,66572721,1
40,b321089b_amit5303202202_9035c,1a95d70a,2
41,b321089b_amit5303202202_9035c,1a95d70a,1
42,b321089b_amit5303202202_9035c,1a95d70a,4
43,b321089b_amit5303202202_9035c,1a95d70a,2
44,b321089b_amit5303202202_9035c,1a95d70a,2
45,8a6907d3_char9169202302_8e7f6,1997475f,1
46,8a6907d3_char9169202302_8e7f6,1997475f,2
47,8a6907d3_char9169202302_8e7f6,1997475f,4
48,932750fb_noah0353202210_9f1e1,1997475f,5
49,932750fb_noah0353202210_9f1e1,1997475f,5
50,932750fb_noah0353202210_9f1e1,1997475f,5
51,932750fb_noah0353202210_9f1e1,1997475f,3
52,6911834f_deep1633202311_d0a37,1a95d70a,1
53,6911834f_deep1633202311_d0a37,1a95d70a,5
54,6911834f_deep1633202311_d0a37,1a95d70a,2
55,6911834f_deep1633202311_d0a37,1a95d70a,4
56,6911834f_deep1633202311_d0a37,1a95d70a,2
57,f648bec2_soph8709202303_7130b,ca67756d,5
58,f648bec2_soph8709202303_7130b,f2ca88d3,2
59,f648bec2_soph8709202303_7130b,1b638af7,4
60,f648bec2_soph8709202303_7130b,63708084,5
61,b2df7ba8_deep2410202207_81f2c,1a95d70a,1
62,b2df7ba8_deep2410202207_81f2c,1a95d70a,5
63,a09c84ef_sabi1040202310_90e3f,1a95d70a,4
64,a09c84ef_sabi1040202310_90e3f,1a95d70a,5
65,a09c84ef_sabi1040202310_90e3f,1a95d70a,1
66,a09c84ef_sabi1040202310_90e3f,1a95d70a,1
67,133c2d46_saku1100202307_346f8,1a95d70a,4
68,133c2d46_saku1100202307_346f8,1a95d70a,2
69,133c2d46_saku1100202307_346f8,1a95d70a,1
70,6f5c5f09_fran1540202312_70acb,1a95d70a,3
71,6f5c5f09_fran1540202312_70acb,1a95d70a,3
72,6f5c5f09_fran1540202312_70acb,1a95d70a,2
73,84ff43a8_fati9566202312_e5ef8,8e41d772,5
74,9cae60c8_kama6767202308_24c40,1a95d70a,1
75,66eb028c_jing9380202305_0a189,1a95d70a,2
76,66eb028c_jing9380202305_0a189,1a95d70a,2
77,66eb028c_jing9380202305_0a189,1a95d70a,1
78,66eb028c_jing9380202305_0a189,1a95d70a,3
79,66eb028c_jing9380202305_0a189,1a95d70a,1
80,d1d8cdcc_mich6753202304_11a35,1a95d70a,2
81,d1d8cdcc_mich6753202304_11a35,1a95d70a,4
82,d1d8cdcc_mich6753202304_11a35,1a95d70a,2
83,08d8429f_priy3661202210_508e1,1a95d70a,3
84,08d8429f_priy3661202210_508e1,68fb6cf4,2
85,08d8429f_priy3661202210_508e1,29f79619,2
86,19af6eb0_liam7451202202_94d31,1a95d70a,1
87,19af6eb0_liam7451202202_94d31,1a95d70a,1
88,d01228d7_sadi3294202210_d1014,9bd12a40,5
89,54f22cc1_andr7918202310_b8b40,9536c472,4
90,54f22cc1_andr7918202310_b8b40,0ebf31b8,1
91,54f22cc1_andr7918202310_b8b40,19ec4ac2,5
92,b1f86226_amel5467202206_6d181,b104e6e3,2
93,b1f86226_amel5467202206_6d181,181fdb70,5
94,b1f86226_amel5467202206_6d181,8308302b,3
95,fc44f970_haru1242202301_50d0c,1a95d70a,5
96,fc44f970_haru1242202301_50d0c,1a95d70a,5
97,fc44f970_haru1242202301_50d0c,1a95d70a,5
98,fc44f970_haru1242202301_50d0c,1a95d70a,1
99,45ef161e_noah3610202301_ca3f5,1a95d70a,5
100,45ef161e_noah3610202301_ca3f5,823e3fc3,2
101,a97f2920_sofi0855202306_6ad82,7d4d06d3,3
102,a97f2920_sofi0855202306_6ad82,58e9ca69,1
103,a97f2920_sofi0855202306_6ad82,49f496b8,2
104,a97f2920_sofi0855202306_6ad82,66572721,1
105,b96b911f_andr1860202209_2bba7,f2ca88d3,2
106,b96b911f_andr1860202209_2bba7,1a95d70a,5
107,b96b911f_andr1860202209_2bba7,933c7635,4
108,c43fb757_mei.4740202210_2ff78,12f924fc,3
109,c43fb757_mei.4740202210_2ff78,dd9ae999,3
110,87394c79_mari7212202301_87691,12f924fc,1
111,87394c79_mari7212202301_87691,1350fb0b,4
112,87394c79_mari7212202301_87691,57d64fc4,3
113,01547c35_oliv4741202204_7b965,2a5fd943,1
114,01547c35_oliv4741202204_7b965,2a5fd943,2
115,01547c35_oliv4741202204_7b965,2a5fd943,3
116,b24d7d76_oliv7991202312_f7501,7564f4ea,4
117,b24d7d76_oliv7991202312_f7501,9f5e2fa5,2
118,b24d7d76_oliv7991202312_f7501,58ff5d23,2
119,b24d7d76_oliv7991202312_f7501,1a95d70a,5
