session_id,customer_id,login_time,logout_time,device_type,browser,pages_visited,session_duration
1,523d58d5_fran0458202204,"2023-04-25 00:00:00","2023-04-25 00:24:00",Tablet,Firefox,7,24
2,523d58d5_fran0458202204,"2023-12-10 00:00:00","2023-12-10 01:02:00",Mobile,Chrome,2,62
3,523d58d5_fran0458202204,"2023-05-21 00:00:00","2023-05-21 01:09:00",Tablet,Firefox,10,69
4,523d58d5_fran0458202204,"2023-04-13 00:00:00","2023-04-13 01:28:00",Tablet,Safari,4,88
5,523d58d5_fran0458202204,"2023-07-18 00:00:00","2023-07-18 01:49:00",Mobile,Firefox,11,109
6,523d58d5_fran0458202204,"2023-01-21 00:00:00","2023-01-21 00:26:00",Mobile,Edge,13,26
7,952a6241_oliv8076202207,"2023-01-01 00:00:00","2023-01-01 00:46:00",Tablet,Safari,16,46
8,952a6241_oliv8076202207,"2023-01-03 00:00:00","2023-01-03 01:05:00",Mobile,Chrome,4,65
9,952a6241_oliv8076202207,"2023-05-01 00:00:00","2023-05-01 00:24:00",Desktop,Edge,12,24
10,952a6241_oliv8076202207,"2024-03-27 00:00:00","2024-03-27 01:00:00",Mobile,Safari,15,60
11,952a6241_oliv8076202207,"2024-03-08 00:00:00","2024-03-08 00:13:00",Desktop,Firefox,18,13
12,952a6241_oliv8076202207,"2023-06-23 00:00:00","2023-06-23 00:18:00",Mobile,Chrome,7,18
13,952a6241_oliv8076202207,"2024-03-25 00:00:00","2024-03-25 00:03:00",Mobile,Chrome,12,3
14,0695ef1e_ren.6165202308,"2024-02-29 00:00:00","2024-02-29 00:13:00",Mobile,Firefox,2,13
15,7a0eae98_will3316202305,"2024-03-11 00:00:00","2024-03-11 01:28:00",Tablet,Firefox,4,88
16,7a0eae98_will3316202305,"2023-12-01 00:00:00","2023-12-01 00:29:00",Mobile,Firefox,10,29
17,95dd7754_luca2923202207,"2024-02-06 00:00:00","2024-02-06 00:43:00",Desktop,Edge,4,43
18,95dd7754_luca2923202207,"2023-12-01 00:00:00","2023-12-01 01:45:00",Mobile,Firefox,4,105
19,95dd7754_luca2923202207,"2024-03-05 00:00:00","2024-03-05 00:09:00",Desktop,Safari,6,9
20,95dd7754_luca2923202207,"2024-02-12 00:00:00","2024-02-12 01:51:00",Desktop,Chrome,20,111
21,95dd7754_luca2923202207,"2023-05-25 00:00:00","2023-05-25 00:17:00",Mobile,Chrome,3,17
22,95dd7754_luca2923202207,"2023-08-15 00:00:00","2023-08-15 01:09:00",Tablet,Chrome,16,69
23,95dd7754_luca2923202207,"2023-07-05 00:00:00","2023-07-05 01:46:00",Tablet,Safari,15,106
24,44c18f49_andr0831202204,"2023-04-16 00:00:00","2023-04-16 01:34:00",Tablet,Firefox,17,94
25,44c18f49_andr0831202204,"2024-02-06 00:00:00","2024-02-06 00:11:00",Tablet,Edge,8,11
